tag,name,rank,thLevel,warID,order_,attackerTag,defenderTag,stars,new_stars,destructionPercentage,war_player.defenderTag,defenderName,defenderRank,defenderTH,attacker_is_home_clan,home_clan_tag,home_clan_name,home_clan_level,enemy_clan_tag,enemy_clan_name,enemy_clan_level,war_start_time,war_size,type
#P8GVPCGC2,GAURAV YADAV,27,18,15965486,31,#P8GVPCGC2,#29RY8VC0R,1,1,89,#29RY8VC0R,Felipe Ksnone,8,18,0,#90YVJJC8,BRAZILIAN HOUSE,29,#JVP8UGCY,MAHI'S FORCE,38,2026-05-27 01:54:17,35,normal
#9JJLRL2V8,mahi❤️tani,24,18,15965486,32,#9JJLRL2V8,#G9LPQQJG2,3,3,100,#G9LPQQJG2,scoqui,14,18,0,#90YVJJC8,BRAZILIAN HOUSE,29,#JVP8UGCY,MAHI'S FORCE,38,2026-05-27 01:54:17,35,normal
#Y09LJR8G8,João Anaya,26,18,15965486,33,#Y09LJR8G8,#9V20PVGUQ,3,3,100,#9V20PVGUQ,H@cker,26,18,1,#90YVJJC8,BRAZILIAN HOUSE,29,#JVP8UGCY,MAHI'S FORCE,38,2026-05-27 01:54:17,35,normal
#9JJLRL2V8,mahi❤️tani,24,18,15965486,34,#9JJLRL2V8,#2P0P9VLQ,3,3,100,#2P0P9VLQ,♥TUSTINHA♥,18,18,0,#90YVJJC8,BRAZILIAN HOUSE,29,#JVP8UGCY,MAHI'S FORCE,38,2026-05-27 01:54:17,35,normal
#Y09LJR8G8,João Anaya,26,18,15965486,35,#Y09LJR8G8,#28G0Q82JP,3,3,100,#28G0Q82JP,puja,9,18,1,#90YVJJC8,BRAZILIAN HOUSE,29,#JVP8UGCY,MAHI'S FORCE,38,2026-05-27 01:54:17,35,normal
#G0PL0CU,❤️RHEA❤️,16,18,15965486,36,#G0PL0CU,#8GRGU08JU,2,2,83,#8GRGU08JU,Monspiet,7,18,0,#90YVJJC8,BRAZILIAN HOUSE,29,#JVP8UGCY,MAHI'S FORCE,38,2026-05-27 01:54:17,35,normal
#G0PL0CU,❤️RHEA❤️,16,18,15965486,37,#G0PL0CU,#2LJJPQ80Y,3,3,100,#2LJJPQ80Y,°°°AKiLiS°°°,17,18,0,#90YVJJC8,BRAZILIAN HOUSE,29,#JVP8UGCY,MAHI'S FORCE,38,2026-05-27 01:54:17,35,normal
#8VV09299C,mahi ❤️shakshii,25,18,15965486,38,#8VV09299C,#JGC9PPG2,1,1,79,#JGC9PPG2,URBANO JUNIOR,20,18,0,#90YVJJC8,BRAZILIAN HOUSE,29,#JVP8UGCY,MAHI'S FORCE,38,2026-05-27 01:54:17,35,normal
#8VV09299C,mahi ❤️shakshii,25,18,15965486,39,#8VV09299C,#YC9C9PLR,2,2,97,#YC9C9PLR,CL0VAO,22,18,0,#90YVJJC8,BRAZILIAN HOUSE,29,#JVP8UGCY,MAHI'S FORCE,38,2026-05-27 01:54:17,35,normal
#PRCRPQR9,Carlinhos 123,34,18,15965486,40,#PRCRPQR9,#PLJQ98000,2,2,89,#PLJQ98000,e Guru,10,18,1,#90YVJJC8,BRAZILIAN HOUSE,29,#JVP8UGCY,MAHI'S FORCE,38,2026-05-27 01:54:17,35,normal
#YC9C9PLR,CL0VAO,22,18,15965486,41,#YC9C9PLR,#VUP998QL,3,3,100,#VUP998QL,khushi,22,18,1,#90YVJJC8,BRAZILIAN HOUSE,29,#JVP8UGCY,MAHI'S FORCE,38,2026-05-27 01:54:17,35,normal
#YC9C9PLR,CL0VAO,22,18,15965486,42,#YC9C9PLR,#9UV82UVQQ,3,3,100,#9UV82UVQQ,mahi♥️ishani,21,18,1,#90YVJJC8,BRAZILIAN HOUSE,29,#JVP8UGCY,MAHI'S FORCE,38,2026-05-27 01:54:17,35,normal
#PRCRPQR9,Carlinhos 123,34,18,15965486,43,#PRCRPQR9,#L8VLCQGVJ,3,3,100,#L8VLCQGVJ,❤Misthi❤,28,18,1,#90YVJJC8,BRAZILIAN HOUSE,29,#JVP8UGCY,MAHI'S FORCE,38,2026-05-27 01:54:17,35,normal
#PV9J2PVG9,Shakshi,19,18,15965486,44,#PV9J2PVG9,#JGC9PPG2,3,2,100,#JGC9PPG2,URBANO JUNIOR,20,18,0,#90YVJJC8,BRAZILIAN HOUSE,29,#JVP8UGCY,MAHI'S FORCE,38,2026-05-27 01:54:17,35,normal
#PV9J2PVG9,Shakshi,19,18,15965486,45,#PV9J2PVG9,#GVR0Q08Q,2,2,78,#GVR0Q08Q,Vinesk,25,18,0,#90YVJJC8,BRAZILIAN HOUSE,29,#JVP8UGCY,MAHI'S FORCE,38,2026-05-27 01:54:17,35,normal
#CVLQR098,shashi,2,18,15965486,46,#CVLQR098,#8JLLL8GQC,3,3,100,#8JLLL8GQC,santiago,13,18,0,#90YVJJC8,BRAZILIAN HOUSE,29,#JVP8UGCY,MAHI'S FORCE,38,2026-05-27 01:54:17,35,normal
#CVLQR098,shashi,2,18,15965486,47,#CVLQR098,#LPLQC28RC,1,1,88,#LPLQC28RC,Rogério ™,12,18,0,#90YVJJC8,BRAZILIAN HOUSE,29,#JVP8UGCY,MAHI'S FORCE,38,2026-05-27 01:54:17,35,normal
#YCLCYL2PL,Aman verma,13,18,15965486,48,#YCLCYL2PL,#9YQGQGRVR,2,0,88,#9YQGQGRVR,Thuthu,1,18,0,#90YVJJC8,BRAZILIAN HOUSE,29,#JVP8UGCY,MAHI'S FORCE,38,2026-05-27 01:54:17,35,normal
#QVJ9228P8,Luis Mena,27,18,15965486,49,#QVJ9228P8,#89VP0GY98,3,3,100,#89VP0GY98,**tWiNKL£**,30,18,1,#90YVJJC8,BRAZILIAN HOUSE,29,#JVP8UGCY,MAHI'S FORCE,38,2026-05-27 01:54:17,35,normal
#Q2QPUPGJ0,Ishika,3,18,15965486,50,#Q2QPUPGJ0,#PQVRVGV89,2,2,63,#PQVRVGV89,Guilherme,11,18,0,#90YVJJC8,BRAZILIAN HOUSE,29,#JVP8UGCY,MAHI'S FORCE,38,2026-05-27 01:54:17,35,normal
#Q2QPUPGJ0,Ishika,3,18,15965486,51,#Q2QPUPGJ0,#8QCCUGPR,2,2,65,#8QCCUGPR,BROKA_FUMEGANTE,15,18,0,#90YVJJC8,BRAZILIAN HOUSE,29,#JVP8UGCY,MAHI'S FORCE,38,2026-05-27 01:54:17,35,normal
#Y209U8J2P,Mena 2,6,18,15965486,52,#Y209U8J2P,#98CRRL8Y9,2,2,95,#98CRRL8Y9,MAHI'S HUNTER,11,18,1,#90YVJJC8,BRAZILIAN HOUSE,29,#JVP8UGCY,MAHI'S FORCE,38,2026-05-27 01:54:17,35,normal
#Y209U8J2P,Mena 2,6,18,15965486,53,#Y209U8J2P,#9UYGPQYUY,1,1,93,#9UYGPQYUY,MAHI IS BACK,15,18,1,#90YVJJC8,BRAZILIAN HOUSE,29,#JVP8UGCY,MAHI'S FORCE,38,2026-05-27 01:54:17,35,normal
#QVJ9228P8,Luis Mena,27,18,15965486,54,#QVJ9228P8,#8VV09299C,3,3,100,#8VV09299C,mahi ❤️shakshii,25,18,1,#90YVJJC8,BRAZILIAN HOUSE,29,#JVP8UGCY,MAHI'S FORCE,38,2026-05-27 01:54:17,35,normal
#GLRG099LU,Zona_lovewar,33,18,15965486,55,#GLRG099LU,#900LG92QP,2,2,87,#900LG92QP,✨✨Taniya✨✨,12,18,1,#90YVJJC8,BRAZILIAN HOUSE,29,#JVP8UGCY,MAHI'S FORCE,38,2026-05-27 01:54:17,35,normal
#GLRG099LU,Zona_lovewar,33,18,15965486,56,#GLRG099LU,#YCLCYL2PL,3,3,100,#YCLCYL2PL,Aman verma,13,18,1,#90YVJJC8,BRAZILIAN HOUSE,29,#JVP8UGCY,MAHI'S FORCE,38,2026-05-27 01:54:17,35,normal
#G90YPR80Y,Night_King,24,18,15965486,57,#G90YPR80Y,#8GJ08CUCR,3,3,100,#8GJ08CUCR,mahi G,14,18,1,#90YVJJC8,BRAZILIAN HOUSE,29,#JVP8UGCY,MAHI'S FORCE,38,2026-05-27 01:54:17,35,normal
#G90YPR80Y,Night_King,24,18,15965486,58,#G90YPR80Y,#9UYGPQYUY,2,1,96,#9UYGPQYUY,MAHI IS BACK,15,18,1,#90YVJJC8,BRAZILIAN HOUSE,29,#JVP8UGCY,MAHI'S FORCE,38,2026-05-27 01:54:17,35,normal
#G9LPQQJG2,scoqui,14,18,15965486,59,#G9LPQQJG2,#2PRGC8R0U,3,3,100,#2PRGC8R0U,Süßhä,17,18,1,#90YVJJC8,BRAZILIAN HOUSE,29,#JVP8UGCY,MAHI'S FORCE,38,2026-05-27 01:54:17,35,normal
#G9LPQQJG2,scoqui,14,18,15965486,60,#G9LPQQJG2,#PV9J2PVG9,3,3,100,#PV9J2PVG9,Shakshi,19,18,1,#90YVJJC8,BRAZILIAN HOUSE,29,#JVP8UGCY,MAHI'S FORCE,38,2026-05-27 01:54:17,35,normal
#P9PU808LR,* BAN DU LA *,29,18,15965486,61,#P9PU808LR,#P00CPC80P,3,3,100,#P00CPC80P,Aditi Negi,23,18,1,#90YVJJC8,BRAZILIAN HOUSE,29,#JVP8UGCY,MAHI'S FORCE,38,2026-05-27 01:54:17,35,normal
